Nr,sy,sm,monthWritten,sd,em,ed,date,date,ID,folio,Datierung ,,Empfaenger,Absender,type,theme,Quelle,,Antwort,Kommentar,Bürgermeisterfrage,,,,,,,,,,,,,,,,
1265,1450,1,Januar,21,Februar,18,#REF!,#REF!,BER936,[fol. 39r],"1449 Dez. 21,",,Nürnberg,Peter Schuler,Brief,"von etlicher leut wegen zu krieg tugend, die er uns vermeint zu schicken.","Item ein brief von Petern Schuler, von etlicher leut wegen zu krieg tugend, die er uns vermeint zu schicken.",,1450 Jan. 29,,,,,,,,,,,,,,,,,,
1267,1450,1,Januar,21,Februar,18,#REF!,#REF!,BER937,[fol. 39r],,,Nürnberg,Erhardt Gyner,Brief,unser sach im hof zu hanndeln anrurend.,"Item ein brief von Erharten Gyner, unser sach im hof zu hanndeln anrurend.",,,,,,,,,,,,,,,,,,,,
1268,1450,1,Januar,21,Februar,18,#REF!,#REF!,BER938,[fol. 39r],,,Nürnberg,Hans Redwitzer zu Grube,Brief,von zweyer seiner armmenner wegen.,"Item ein brief von Hannsen Redwitzer zu Grube, von zweyer seiner armmenner wegen.",,,,,,,,,,,,,,,,,,,,
1269,1450,1,Januar,21,Februar,18,#REF!,#REF!,BER939,[fol. 39r],,,Nürnberg,Fruino,Bittbrief,"caplan zu Newfar, sein armman, Fritzen Hofmeister, anrurend.","Item ein betbrief von Fruino, caplan zu Newfar, sein armman, Fritzen Hofmeister, anrurend.",,,,,,,,,,,,,,,,,,,,
1270,1450,1,Januar,21,Februar,18,#REF!,#REF!,BER940,[fol. 39r],,,Nürnberg,Leubing,Brief,,"Item aber i brief vom Leubing etc., sein vertigung anrurend.",,1450 Febr. 6,,,,,,,,,,,,,,,,,,
1272,1450,1,Januar,21,Februar,18,#REF!,#REF!,BER941,[fol. 39r],,,Nürnberg,Abt von Castell,Brief,Contz Smyde von Lutzelow anrurend.,"Item ein brief von dem abt von Castell, Contzen Smyde von Lutzelow anrurend.",,,,,,,,,,,,,,,,,,,,
1273,1450,1,Januar,21,Februar,18,#REF!,#REF!,BER942,[fol. 39r],,,Karl Holtzschuher,Kastner zu Beyrsdorf,Brief,"von etlicher schatzung wegen, und im auch papir und anders hinauß ze schicken.","Item ein brief von dem castner zu Beyrsdorf, an Hansen Eylfang lautend, von etlicher schatzung wegen, und im auch papir und anders hinauß ze schicken.",,,,,,,,,,,,,,,,,,,,
1274,1450,1,Januar,21,Februar,18,#REF!,#REF!,BER943,[fol. 39r],,,Nürnberg,Felitz Reckin,Brief,"von Fritzen Torsels wegen, ir den ledig zu lassen.","Item ein brief von Felitz Reckin, von Fritzen Torsels wegen, ir den ledig zu lassen.",,,,,,,,,,,,,,,,,,,,
1275,1450,1,Januar,21,Februar,18,#REF!,#REF!,BER944,[fol. 39r],,,Nürnberg,Kastnerzu Beyrsdorf,Brief,etliche schatzung antreffend.,"Item aber ein brief vom castner zu Beyrsd(orf), etliche schatzung antreffend.",,,,,,,,,,,,,,,,,,,,
1276,1450,1,Januar,21,Februar,18,#REF!,#REF!,BER945,[fol. 39r],,,Nürnberg,Colobrat,offene Kredenz,,Item ein offen credentz vom Colobraten auf Micheln Glaser.,,1450 Febr. 5,,,,,,,,,,,,,,,,,,
1278,1450,1,Januar,21,Februar,18,#REF!,#REF!,BER946,[fol. 39r],,,Nürnberg,Bischof von Würzburg,Brief,den tage secunda post Purificationis [1450 Februar 9] zu Höchstet anrurend.,"Item ein brief von meinem hern von Wirtzpurg mit eingeslossen abschriften und brieven, den tage secunda post Purificationis [1450 Februar 9] zu Höchstet anrurend.",,1450 Febr. 5,,,,,,,,,,,,,,,,,,
1280,1450,1,Januar,21,Februar,18,#REF!,#REF!,BER947,[fol. 39r],,,Nürnberg,Wilhelm Schenk,Brief,"von Herman Kelners wegen, den von Haydeck und sein gemaheln anrurend.","Item ein brief von Wilhelm Schennken, von Herman Kelners wegen, den von Haydeck und sein gemaheln anrurend.",,1450 Febr. 6,,,,,,,,,,,,,,,,,,
1282,1450,1,Januar,21,Februar,18,#REF!,#REF!,,[fol. 39v],,,,,,,,,,,,,,,,,,,,,,,,,,,
1283,1450,1,Januar,21,Februar,18,#REF!,#REF!,BER948,[fol. 39v],,,Nürnberg,Jude Salman Pegnitz,Brief,sein tochter anrurend.,"Item ein brief von Salman, juden von Pegnitz, sein tochter anrurend.",,,,,,,,,,,,,,,,,,,,
1284,1450,1,Januar,21,Februar,18,#REF!,#REF!,BER949,[fol. 39v],,,Nürnberg,Ulm,Brief,Ulm mit eingeslossen veinds zetteln.,Item zwen brief von Ulm mit eingeslossen veinds zetteln.,,,,,,,,,,,,,,,,,,,,
1285,1450,1,Januar,21,Februar,18,#REF!,#REF!,BER950,[fol. 39v],,,Nürnberg,gemeiner stett senndpOtto,Brieflein,unser bede anzalen uf Scolastice [1450 Februar 10] gen Nord(lingen) zu schicken.,"Item dabey ein clein brieflin von gemeiner stett senndpotten, unser bede anzalen uf Scolastice [1450 Februar 10] gen Nord(lingen) zu schicken.",,,,,,,,,,,,,,,,,,,,
1286,1450,1,Januar,21,Februar,18,#REF!,#REF!,BER951,[fol. 39v],1450 Jan. 21,,Nürnberg,Stephan Hangenor,Antwort,von der xiic [1200] gulden wegen.,"Item ein antwort von Stephan Hangenor, von der xiic [1200] gulden wegen.",,1450 wohl Febr.,1450 wohl Febr. BB 20/346r (nur Adresse und erste Zeile),,,,,,,,,,,,,,,,,
1289,1450,1,Januar,21,Februar,18,#REF!,#REF!,BER952,[fol. 39v],,,Nürnberg,Hans Greulich,Brief,"von seiner tat wegen mit prand, weyern und muln ergangen.","Item ein brief von Hannsen Greulich, von seiner tat wegen mit prand, weyern und muln ergangen.",,,,,,,,,,,,,,,,,,,,
1290,1450,1,Januar,21,Februar,18,#REF!,#REF!,BER953,[fol. 39v],,,Nürnberg,Ulm,mehrere Briefe,"einer mit einer eingeslossen veindzettel, der ander mit einer abschrift graf :Ulr: Ludwigs von Wirtemberg, die strassen und der seinen gewerbe anrurend.","Item zwen brief von Ulm, einer mit einer eingeslossen veindzettel, der ander mit einer abschrift graf :Ulr: Ludwigs von Wirtemberg, die strassen und der seinen gewerbe anrurend.",,1450 Febr. 17,,,,,,,,,,,,,,,,,,
1292,1450,1,Januar,21,Februar,18,#REF!,#REF!,BER954,[fol. 39v],,,Bertold Volkmer (Nürnberg),Bischof von Würzburg,Brief,den tage zu Hochstet antreffend.,"Item ein brief von dem bischof von Wirtzpurg an B[ertold] Volkmer, den tage zu Hochstet antreffend.",,,,,,,,,,,,,,,,,,,,
1293,1450,1,Januar,21,Februar,18,#REF!,#REF!,BER955,[fol. 39v],,,Nürnberg,Wirte zu Weissenburg,Brief,der unsern zerung daselbst anrurend.,"Item aber ein brief von den wirten zu Weiss(enburg), der unsern zerung daselbst anrurend.",,,,,,,,,,,,,,,,,,,,
1294,1450,1,Januar,21,Februar,18,#REF!,#REF!,BER956,[fol. 39v],,,Nürnberg,Lorentz Eulnflug,Brief,im rechtens vom Zirkendorfer zu helffen.,"Item ein brief von Lorentzen Eulnflug, im rechtens vom Zirkendorfer zu helffen.",,1450 Febr. 12,,,,,,,,,,,,,,,,,,
1296,1450,1,Januar,21,Februar,18,#REF!,#REF!,BER957,[fol. 39v],,,Nürnberg,Lauf,Brief,von etlicher gefangen wegen von Haßlach und ir genomen habe etc.,"Item aber ein brief von Lauf, von etlicher gefangen wegen von Haßlach und ir genomen habe etc.",,,,,,,,,,,,,,,,,,,,
1297,1450,1,Januar,21,Februar,18,#REF!,#REF!,BER958,[fol. 39v],,,Nürnberg,gemeine Reichsstädte,Brieflein,"Item ein br(ief)l(in) von gemeiner reichstet senndpotten, von etlicher außgerichten stuklin wegen.",,,,,,,,,,,,,,,,,,,,,
1298,1450,1,Januar,21,Februar,18,#REF!,#REF!,,[fol. 40r],,,,,,,,,,,,,,,,,,,,,,,,,,,
1299,1450,2,Februar,18,März,18,1450 Februar 18|März 18,1450 Februar 18|März 18,,[fol. 40r],,,,,,,,,,,Burgermeister her Erhart Schurstab ud her Peter Rieter feria iiiia Cynerum ano 1°,,,,,,,,,,,,,,,,
1301,1450,2,Februar,18,März,18,#REF!,#REF!,BER959,[fol. 40r],,,Nürnberg,Ulm,Scheinbrief,,Item ein scheinbrief von Ulm mit etlichen vertzaichenten veinden.,,,,,,,,,,,,,,,,,,,,
1302,1450,2,Februar,18,März,18,#REF!,#REF!,BER960,[fol. 40r],1450 Febr. 6,,Nürnberg,Ulm,Brief,,"Item ein brief ab eisdem, uns entschuldigt zu haben, das wir zu der nechsten manung nicht geschikt haben, mit begerung, in abschidung des tags zu Heidelberg zu schiken, desgleichen den commissar(ien) des kungs.",,1450 Febr. 23,,,,,,,,,,,,,,,,,,
1305,1450,2,Februar,18,März,18,#REF!,#REF!,BER961,[fol. 40r],,,Nürnberg,Augsburg,mehrere Brieflein,,"Item ii brieflin von Augspurg, von beder antzal wegen gen Weissenburg ze schicken.",,1450 Febr. 20,,,,,,,,,,,,,,,,,,
1307,1450,2,Februar,18,März,18,#REF!,#REF!,BER962,[fol. 40r],,,Nürnberg,Weissenburg,Brieflein,,"Item ein br(ief)l(in) von Weissenburg, von besorgnüß wegen fürslags fur sie, und begernde, in zustatten zu komen.",,1450 Febr. 20,,,,,,,,,,,,,,,,,,
1309,1450,2,Februar,18,März,18,#REF!,#REF!,BER963,[fol. 40r],,,Nürnberg,Hiltpoltstein,Brief,die pranntschatzung zu Alverßhausen antreffend.,"Item ein brief von dem Hiltpoltstein, die pranntschatzung zu Alverßhausen antreffend.",,,,,,,,,,,,,,,,,,,,
1310,1450,2,Februar,18,März,18,#REF!,#REF!,BER964,[fol. 40r],,,Nürnberg,Rothenburg,Antwort,"lautend, das in i unser briefe wol geantwurt worden sein.","Item i antwurt von Rotenburg, lautend, das in i unser briefe wol geantwurt worden sein.",,,,,,,,,,,,,,,,,,,,
1311,1450,2,Februar,18,März,18,#REF!,#REF!,BER965,[fol. 40r],,,Nürnberg,Ulm,Brief,in abschidung des tags zu Heidelberg zu schiken.,"Item ein brief von Ulm mit einer veindzettel und dabey ein brieflin, in abschidung des tags zu Heidelberg zu schiken.",,,,,,,,,,,,,,,,,,,,
1312,1450,2,Februar,18,März,18,#REF!,#REF!,BER966,[fol. 40r],1450 Jan. 15,,Nürnberg,Hall,Antwort,von des predigers wegen zum spital.,"Item ein antwort von Hall, von des predigers wegen zum spital.",,1450 Febr. 25,,,,,,,,,,,,,,,,,,
1317,1450,2,Februar,18,März,18,#REF!,#REF!,BER968,[fol. 40r],,,Nürnberg,Bischof von Wirtzpurg,Brief,"Heinz Mülner, sein diener, antreffend, den gen Eberhard Jerger abzuwechsseln.","Item ein brief von dem bischof zu W[irtzpurg], Heintzen Mülner, sein diener, antreffend, den gen Eberhard Jerger abzuwechsseln.",,1450 Febr. 23,,,,,,,,,,,,,,,,,,
1319,1450,2,Februar,18,März,18,#REF!,#REF!,BER969,[fol. 40r],,,Nürnberg,Niclas Muffel,Brief,,:Item ein brief von Niclas Muffel:.,,,,,,,,,,,,,,,,,,,,
1320,1450,2,Februar,18,März,18,#REF!,#REF!,BER970,[fol. 40r],,,Nürnberg,Weissenburg,Dankbrief,von unser zusenndung wegen unser gesellen und zeugs.,"Item ein dannkbrief von Weissenburg, von unser zusenndung wegen unser gesellen und zeugs.",,,,,,,,,,,,,,,,,,,,
1321,1450,2,Februar,18,März,18,#REF!,#REF!,BER971,[fol. 40r],,,Nürnberg,Hans von Gera,langer Brief,,"Item ein lannger brief von Hannsen von Gera, die Heldin antreffend.",,,,,,,,,,,,,,,,,,,,
1322,1450,2,Februar,18,März,18,#REF!,#REF!,BER972,[fol. 40r],,,Nürnberg,Hall,Brief,"von Adelheit Virnkornyn wegen, von Conrat Keslers, unsers burgers, seligen habe wegen, die in gepot zu legen.","Item ein brief von Hall, von Adelheit Virnkornyn wegen, von Conrat Keslers, unsers burgers, seligen habe wegen, die in gepot zu legen.",,,,,,,,,,,,,,,,,,,,
1323,1450,2,Februar,18,März,18,#REF!,#REF!,BER973,[fol. 40r],,,Nürnberg,Hall,Brief,,"Item ein antwurt ab eisdem, von hern Lienhart Leydings, predigers, wegen.",,1450 Febr. 25,,,,,,,,,,,,,,,,,,
1325,1450,2,Februar,18,März,18,#REF!,#REF!,BER974,[fol. 40r],,,Nürnberg,Herzog Friedrich von Sachsen,Brief,"von kupffers wegen, die Wolkenstein(er) anrurend.","Item ein brief von hertzog Fr(idrich) von Sachssen, von kupffers wegen, die Wolkenstein(er) anrurend.",,1450 Febr. 28,,,,,,,,,,,,,,,,,,
1327,1450,2,Februar,18,März,18,#REF!,#REF!,BER975,[fol. 40r],,,Nürnberg,Leipzig,,,Item von den von Leipzk ad idem.,,1450 Febr. 28,,,,,,,,,,,,,,,,,,
1329,1450,2,Februar,18,März,18,#REF!,#REF!,BER976,[fol. 40r],,,Nürnberg,Leipzig,,,"Item ab eisdem, von Andres Wandergerns wegen.",,,,,,,,,,,,,,,,,,,,
1330,1450,2,Februar,18,März,18,#REF!,#REF!,BER977,[fol. 40r],,,Nürnberg,Hans Sluchter (Nürnberg),Brief,.,"Item ein brief von Hannsen Sluchter, unserm burger.",,,,,,,,,,,,,,,,,,,,
1331,1450,2,Februar,18,März,18,#REF!,#REF!,BER978,[fol. 40r],,,Nürnberg,Grewlich,mehrere zettel,,"Item vom Grewlich zwen zetteln, etliche sein tat antreffend.",,,,,,,,,,,,,,,,,,,,
1332,1450,2,Februar,18,März,18,#REF!,#REF!,BER979,[fol. 40r],,,Nürnberg,Domkapitel von Würzburg,Brief,Hans Volken von der frümeß wegen zu Telheim anrurend.,"Item ein brief von dem capitel zu Wirtzpurg, Hannsen Volken von der frümeß wegen zu Telheim anrurend.",,,,,,,,,,,,,,,,,,,,
1333,1450,2,Februar,18,März,18,#REF!,#REF!,BER980,[fol. 40r],,,Nürnberg,Herzogenaurach,Brief,von etlicher der iren wegen.,"Item ein brief von Hertzogenawrach, von etlicher der iren wegen.",,,,,,,,,,,,,,,,,,,,
1334,1450,2,Februar,18,März,18,#REF!,#REF!,BER981,[fol. 40r],,,Nürnberg,"Ulrich von Lentersheim, Landkomtur zu Ellingen",Brief,von etlicher zeym und furpewg wegen.,"Item ein brief von hern Ulrich von Lentersh(eim), lanntcommthur zu Ellingen, von etlicher zeym und furpewg wegen.",,,,,,,,,,,,,,,,,,,,
1335,1450,2,Februar,18,März,18,#REF!,#REF!,BER982,[fol. 40r],,,Nürnberg,Weissenburg,Brief,wie der von Augspurg diener von der zeug wegen etc. zu in komen sey.,"Item ein brief von Weiss(enburg), wie der von Augspurg diener von der zeug wegen etc. zu in komen sey.",,,,,,,,,,,,,,,,,,,,
1336,1450,2,Februar,18,März,18,#REF!,#REF!,BER983,[fol. 40r],,,Nürnberg,Sigmund von Sekendorf,Brief,Ekarius Saltzpurger antreffend.,"Item ein brief von Sigmunden von Sek(endorf), Ekarius Saltzpurger antreffend.",,,,,,,,,,,,,,,,,,,,
1337,1450,2,Februar,18,März,18,#REF!,#REF!,,[fol. 41r],,,,,,,,,,,,,,,,,,,,,,,,,,,
1338,1450,2,Februar,18,März,18,#REF!,#REF!,BER984,[fol. 41r],,,Nürnberg,Priorin und convent zu Engeltal,Brief,sichrung des dorfs zu Praytenprunn anrurende.,"Item ein brief von der priorin und convent zu Engeltal, sichrung des dorfs zu Praytenprunn anrurende.",,,,,,,,,,,,,,,,,,,,
1339,1450,2,Februar,18,März,18,#REF!,#REF!,BER985,[fol. 41r],,,Nürnberg,"Konrad vom Eglofstein, Landrichter",Brief,von eins armmans wegen zu Otensas.,"Item ein brief von Conrat vom Eglofstein, lantr(ichter), von eins armmans wegen zu Otensas.",,,,,,,,,,,,,,,,,,,,
1340,1450,2,Februar,18,März,18,#REF!,#REF!,BER986,[fol. 41r],,,Bertold Volkmer,"Weiprechten von Kreulßheim; Friedrich Schultheiß, Kanzler",Brief,in vier knechte zuzuschicken.,"Item ein brief von Weipr(echten) von Kreulßheim und Fridrichen Schult(heiß), cantzler etc., in vier knechte zuzuschicken, an B[ertold] Volkmer lautend.",,1450 März 4,,,,,,,,,,,,,,,,,,
1342,1450,2,Februar,18,März,18,#REF!,#REF!,BER987,[fol. 41r],,,Bertold Volkmer,Hans Grafenoder,Brief,"von des zeugs wegen, der gen Weissenburg komen solt.","Item ein brief von Hannsen Grafenoder, an B[ertold] Volkmer lautend, von des zeugs wegen, der gen Weissenburg komen solt.",,,,,,,,,,,,,,,,,,,,
1343,1450,2,Februar,18,März,18,#REF!,#REF!,BER988,[fol. 41r],,,Nürnberg,Lauf,Brief,von der iren pranndt nom und beschedigung wegen.,"Item aber ein brief von Lauff, von der iren pranndt nom und beschedigung wegen.",,1450 März 4,,,,,,,,,,,,,,,,,,
1345,1450,2,Februar,18,März,18,#REF!,#REF!,BER989,[fol. 41r],,,Nürnberg,Frau Annen,Bittbrief,"Herzogin zu Beyrn, Conrat, organisten, hawsfrawn zu im zu komen vergunnen.","Item ein betbrief von frawen Annen, hertzogin zu Beyrn, Conrat, organisten, hawsfrawn zu im zu komen vergunnen.",,,,,,,,,,,,,,,,,,,,
1346,1450,2,Februar,18,März,18,#REF!,#REF!,BER990,[fol. 41r],,,Bertold Volkmer,Jobst Zettler zu Windßheim,Brief,von etlicher warnung wegen.,"Item ein brief von Jobsten Zettler zu Windßheim, an B[ertold] Volkmer lautend, von etlicher warnung wegen.",,,,,,,,,,,,,,,,,,,,
1347,1450,2,Februar,18,März,18,#REF!,#REF!,BER991,[fol. 41r],,,Nürnberg,Hiltpolt Hohenfelser,Bittbrief,von seins leiptings wegen.,"Item i betbrief von Hiltpolt Hohenfelser, von seins leiptings wegen.",,1450 März 9,,,,,,,,,,,,,,,,,,
1349,1450,2,Februar,18,März,18,#REF!,#REF!,BER992,[fol. 41r],,,Nürnberg,Lauf,Brief,von der iren beschedigung wegen.,"Item aber ein brief von Lauf, von der iren beschedigung wegen.",,1450 März 4,,,,,,,,,,,,,,,,,,
1351,1450,2,Februar,18,März,18,#REF!,#REF!,BER993,[fol. 41r],,,Nürnberg,Hiltpoltstein,Brief,"Hans Dietel, irn burger, antreffend.","Item ein brief von dem Hiltpoltstein, Hansen Dietel, irn burger, antreffend.",,1450 März 10,,,,,,,,,,,,,,,,,,
1353,1450,2,Februar,18,März,18,#REF!,#REF!,BER994,[fol. 41r],,,Nürnberg,Matheis von Mengersreut mit einer eingeslossen zettel,Brief,sein vordrung anrurend.,"Item ein brief von Matheis von Mengersr(eut) mit einer eingeslossen zettel, sein vordrung anrurend.",,1450 März 12,,,,,,,,,,,,,,,,,,
1355,1450,2,Februar,18,März,18,#REF!,#REF!,BER995,[fol. 41r],,,Nürnberg,Hans Redwitzer zu Grub,mehrere Briefe,etlich sein armlut antreffend.,"Item zwen brief von Hannsen Redwitzer zu Grub, etlich sein armlut antreffend.",,,,,,,,,,,,,,,,,,,,
1356,1450,2,Februar,18,März,18,#REF!,#REF!,,[fol. 41v],,,,,,,,,,,,,,,,,,,,,,,,,,,
1357,1450,2,Februar,18,März,18,#REF!,#REF!,BER996,[fol. 41v],,,Nürnberg,Pfarrer Sebaldi,Brief,von seins reitens wegen gen Rome.,"Item ein brief von dem pfarrer Sebaldi, von seins reitens wegen gen Rome.",,,,,,,,,,,,,,,,,,,,
1358,1450,2,Februar,18,März,18,#REF!,#REF!,BER997,[fol. 41v],,,Nürnberg,Herzog Friedrich von Sachsen,Brief,von des tags wegen zu München.,"Item ein brief von hertzog Fridrich von Sachsen, von des tags wegen zu München.",,,,,,,,,,,,,,,,,,,,
1359,1450,2,Februar,18,März,18,#REF!,#REF!,BER998,[fol. 41v],,,Nürnberg,Hersbruck,Brief,Heinrich Steinlin anrurend.,"Item aber ein brief von Herspruck, Heinrich Steinlin anrurend.",,1450 März 13,,,,,,,,,,,,,,,,,,
1361,1450,2,Februar,18,März,18,#REF!,#REF!,BER999,[fol. 41v],1450 März 3,,Nürnberg,Pilsen,Brief,von des tags wegen daselbst uf Letare [1450 März 15].,"Item ein brief von Pilzen, von des tags wegen daselbst uf Letare [1450 März 15].",,1450 März 13,,,,,,,,,,,,,,,,,,
1363,1450,2,Februar,18,März,18,#REF!,#REF!,BER1000,[fol. 41v],,,Nürnberg,König,Brief,von Hannsen wegen von Ach.,"Item ein brief von unserm hern kung, von Hannsen wegen von Ach.",,1450 März 14,,,,,,,,,,,,,,,,,,
1365,1450,2,Februar,18,März,18,#REF!,#REF!,BER1001,[fol. 41v],,,Nürnberg,Augsburg,Förderbrief,"von Fridelhuters, des tuchschers, irs burgers, wegen.","Item ein furderbrief von Augspurg, von Fridelhuters, des tuchschers, irs burgers, wegen.",,,,,,Burgermeister her B[ertold] Pfinzing und her Wilhelm Ebner feria quarta post Petri et Pauli apostolorum anno etc. lo.,,,,,,,,,,,,,,
1366,1450,2,Februar,18,März,18,#REF!,#REF!,BER1002,[fol. 41v],,,Nürnberg,Ulm,Brief,mit einer zettel etlicher veynde.,Item ein brief von Ulm mit einer zettel etlicher veynde.,,1450 März 17,,,,,,,,,,,,,,,,,,
1368,1450,2,Februar,18,März,18,#REF!,#REF!,BER1003,[fol. 41v],,,Nürnberg,"von Hannsen Dietels, irs burgers, wegen, von zweyer pferd wegen.",mehrere Briefe,,"Item zwen brief vom Hiltpoltstein, von Hannsen Dietels, irs burgers, wegen, von zweyer pferd wegen.",,,,,,,,,,,,,,,,,,,,
1369,1450,2,Februar,18,März,18,#REF!,#REF!,BER1004,[fol. 41v],,,Nürnberg,Nördlingen,Brief,"begernde, her Walthers knecht von Hürnheim, der unser gefangen ist, gen dem Derrsattel, :uns: irem diener, abtzuwechseln.","Item ein brief von Nord(lingen), begernde, her Walthers knecht von Hürnheim, der unser gefangen ist, gen dem Derrsattel, :uns: irem diener, abtzuwechseln.",,,,,,,,,,,,,,,,,,,,
1370,1450,2,Februar,18,März,18,#REF!,#REF!,BER1005,[fol. 41v],,,Nürnberg,Werner Turrigel,Brief,"von etlicher beschedigung wegen, im zu Sumerstorf getan.","Item ein brief von Wernhern Turrigel, von etlicher beschedigung wegen, im zu Sumerstorf getan.",,,,,,,,,,,,,,,,,,,,
1371,1450,2,Februar,18,März,18,#REF!,#REF!,BER1006,[fol. 41v],,,Nürnberg,Stephan von Grunbach,Brief,"von zehen gulden wegen, so er dem Otlinger gelihen haben sol.","Item ein brief von Stephan von Grunbach, von zehen gulden wegen, so er dem Otlinger gelihen haben sol.",,,,,,,,,,,,,,,,,,,,
1372,1450,2,Februar,18,März,18,#REF!,#REF!,BER1007,[fol. 41v],,,Nürnberg,Augsburg,Brieflein,,"Item ein br(ief)l(in) von Augspurg, begernde, sie der geschichte, mit uns und dem marggrafen ergangen, zuunderr(ichten).",,1450 März 17,,,,,,,,,,,,,,,,,,
1374,1450,2,Februar,18,März,18,#REF!,#REF!,BER1008,[fol. 41v],,,Nürnberg,Windsheim,Brief,"von ir gefanngen wegen gen Uffenh(eim), den darumb zu schreiben.","Item ein brief von Windsh(eim), von ir gefanngen wegen gen Uffenh(eim), den darumb zu schreiben.",,1450 März 17,,,,,,,,,,,,,,,,,,
1376,1450,2,Februar,18,März,18,#REF!,#REF!,BER1009,[fol. 41v],,,Nürnberg,,wiedergefundener Brief,,"Item i brif ins burger(meisters) stul funden, darinnen den rat smeht von des kriegs wegen [unten auf der Seite von anderer Hand].",,,,,,,,,,,,,,,,,,,,
1377,1450,2,Februar,18,März,18,#REF!,#REF!,,[fol. 42r],,,,,,,,,,,,,,,,,,,,,,,,,,,
1378,1450,2,Februar,18,März,18,#REF!,#REF!,BER1010,[fol. 42r],1450 Febr. 27,,Nürnberg,Jacob Hofman,Brief,die von Reiffenberg und etliche ander sach anrurend.,"Item ein brief von Jacob Hofman, die von Reiffenberg und etliche ander sach anrurend.",,,,,,,,,,,,,,,,,,,,
1380,1450,2,Februar,18,März,18,#REF!,#REF!,BER1011,[fol. 42r],,,Nürnberg,Weissenburg,Brief,"Item der von Weiss(enburg) brief, innhaltende von der niderlage und etliche ander sach, als von puchssenputen in ze schicken.",,,,,,,,,,,,,,,,,,,,,
1381,1450,2,Februar,18,März,18,#REF!,#REF!,BER1012,[fol. 42r],,,Nürnberg,Hans Greulich,Brief,die niderlag anrurend.,"Item ein brief von Hannsen Greulich, die niderlag anrurend.",,,,,,,,,,,,,,,,,,,,
1382,1450,2,Februar,18,März,18,#REF!,#REF!,BER1013,[fol. 42r],,,Nürnberg,Lamprechten von Seckendorf,Brief,"genant Rynhofen, von Heintzen Hawts wegen, seiner muter armmann.","Item i brief von Lampr(echten) von Seckendorf, genant Rynhofen, von Heintzen Hawts wegen, seiner muter armmann.",,,,,,,,,,,,,,,,,,,,
1383,1450,3,März,18,April,8,1450 März 18|April 8,1450 März 18|April 8,,[fol. 42r],,,,,,,,,,,,,,,,,,,,,,,,,,,
1384,1450,3,März,18,April,8,1450 März 18|April 8,1450 März 18|April 8,,[fol. 42r],,,,,,,,,,,,,,,,,,,,,,,,,,,
1385,1450,3,März,18,April,8,1450 März 18|April 8,1450 März 18|April 8,BER1014,[fol. 42r],,,Nürnberg,Augsburg,Brief,"Baltasar Spilberger, iren diener, antreffend.","Item ein brief von Augspurg, Baltasar Spilberger, iren diener, antreffend.",,1450 März 23,,,,,,,,,,,,,,,,,,
1387,1450,3,März,18,April,8,#REF!,#REF!,BER1015,[fol. 42r],,,Nürnberg,Weissenburg,Brief,von der trabanten wegen bey in ligenden.,"Item ein brief von Weissenburg, von der trabanten wegen bey in ligenden.",,1450 März 23,,,,,,,,,,,,,,,,,,
1389,1450,3,März,18,April,8,#REF!,#REF!,BER1016,[fol. 42r],,,Nürnberg,Wilhelm Derrer,Brief,Wilhelm Derrer ad idem.,Item ein brief von Wilhelm Derrer ad idem.,,,,,,,,,,,,,,,,,,,,
1390,1450,3,März,18,April,8,#REF!,#REF!,BER1017,[fol. 42r],,,Nürnberg,Windsheim,Brief,von irer gefanngen wegen zu Uffenheim ligenden.,"Item aber ein brief von Windßheim, von irer gefanngen wegen zu Uffenheim ligenden.",,,,,,,,,,,,,,,,,,,,
1391,1450,3,März,18,April,8,#REF!,#REF!,BER1018,[fol. 42r],,,Nürnberg,"Frau Margreden, Wittwe des Jörg von Eglofstein",Brief,,"Item ein brief fraw Margr(reden), Jorgen vom Eglofstein seligen witiben, von Contzen Rampersdorffers wegen.",,,,,,,,,,,,,,,,,,,,
1392,1450,3,März,18,April,8,#REF!,#REF!,BER1019,[fol. 42r],,,Nürnberg,,Brief,,"Item ein brief on underschrifte, das sloß zu Winterstein antreffend.",,,,,,,,,,,,,,,,,,,,
1393,1450,3,März,18,April,8,#REF!,#REF!,BER1020,[fol. 42r],1450 März 18 und 1450 März 20,,Johann Platerberger der Junge,Heinrico Kun,mehrere Briefe,etlich unser sach antreffend.,"Item zwen brief von Heinrico Kun, an Johann Platerberger den jungen lautend, etlich unser sach antreffend.",,1450 März 22,,,,,,,,,,,,,,,,,,
1395,1450,3,März,18,April,8,#REF!,#REF!,BER1021,[fol. 42r],,,Bertold Volkmer,Hans Goldner,mehrere Briefe,von smaltz und ander sachen wegen.,"Item zwen brief von Hannsen Goldner, an B[ertold] Volkmer lautend, von smaltz und ander sachen wegen.",,,,,,,,,,,,,,,,,,,,
1396,1450,3,März,18,April,8,#REF!,#REF!,,[fol. 42v],,,,,,,,,,,,,,,,,,,,,,,,,,,
1397,1450,3,März,18,April,8,#REF!,#REF!,BER1022,[fol. 42v],,,Nürnberg,Hans Grewlich,Brief,etlich ansleg anrurend.,"Item ein brief von Hannsen Grewlich, etlich ansleg anrurend.",,1450 März 23,,,,,,,,,,,,,,,,,,
